episode,reward,steps,key,door,goal,exploration
240,0.58,28,1,1,1,0.29
241,1.0,9,1,1,1,0.29
242,-0.56,50,1,0,0,0.29
243,1.0,8,1,1,1,0.29
244,0.88,14,1,1,1,0.29
245,1.04,7,1,1,1,0.29
246,0.96,9,1,1,1,0.29
247,1.04,7,1,1,1,0.29
248,0.94,11,1,1,1,0.29
249,-0.18,50,1,1,0,0.29
250,-0.78,50,0,0,0,0.29
251,1.04,7,1,1,1,0.29
252,0.94,11,1,1,1,0.29
253,1.04,7,1,1,1,0.29
254,-0.6,50,1,0,0,0.29
255,0.56,20,1,1,1,0.29
256,0.72,20,1,1,1,0.29
257,-0.44,50,1,1,0,0.29
258,1.04,7,1,1,1,0.29
259,1.0,8,1,1,1,0.29
260,1.02,8,1,1,1,0.29
261,-0.24,50,1,1,0,0.29
262,0.24,43,1,1,1,0.29
263,1.04,7,1,1,1,0.29
264,0.76,16,1,1,1,0.29
265,0.92,11,1,1,1,0.29
266,0.98,9,1,1,1,0.29
267,0.64,19,1,1,1,0.29
268,0.98,10,1,1,1,0.29
269,-0.06,50,1,1,0,0.29
270,1.0,8,1,1,1,0.29
271,0.96,9,1,1,1,0.29
272,0.72,19,1,1,1,0.29
273,1.0,8,1,1,1,0.29
274,0.9,12,1,1,1,0.29
275,0.8,16,1,1,1,0.29
276,0.68,23,1,1,1,0.29
277,0.46,22,1,1,1,0.29
278,0.94,11,1,1,1,0.29
279,0.68,22,1,1,1,0.29
280,-0.72,50,0,0,0,0.29
281,-0.74,50,0,0,0,0.29
282,0.56,23,1,1,1,0.29
283,1.0,8,1,1,1,0.29
284,1.04,7,1,1,1,0.29
285,0.96,10,1,1,1,0.29
286,-0.6,50,1,1,0,0.29
287,-0.12,50,1,1,0,0.29
288,0.96,10,1,1,1,0.29
289,0.9,11,1,1,1,0.29
290,-0.04,41,1,1,1,0.29
291,0.7,17,1,1,1,0.29
292,0.9,12,1,1,1,0.29
293,1.04,7,1,1,1,0.29
294,0.88,12,1,1,1,0.29
295,0.82,17,1,1,1,0.29
296,1.0,8,1,1,1,0.29
297,1.0,8,1,1,1,0.29
298,0.46,33,1,1,1,0.29
299,1.0,8,1,1,1,0.29
300,1.04,7,1,1,1,0.29
301,1.0,9,1,1,1,0.29
302,0.3,40,1,1,1,0.29
303,-0.76,50,0,0,0,0.29
304,0.82,14,1,1,1,0.29
305,0.58,27,1,1,1,0.29
306,0.92,11,1,1,1,0.29
307,1.0,9,1,1,1,0.29
308,-0.74,50,0,0,0,0.29
309,-0.1,50,1,1,0,0.29
310,-0.18,50,1,1,0,0.29
311,0.06,48,1,1,1,0.29
312,1.0,8,1,1,1,0.29
313,0.94,11,1,1,1,0.29
314,-0.22,50,1,1,0,0.29
315,1.02,8,1,1,1,0.29
316,0.56,22,1,1,1,0.29
317,0.86,16,1,1,1,0.29
318,1.04,7,1,1,1,0.29
319,1.0,8,1,1,1,0.29
320,0.8,16,1,1,1,0.29
321,1.04,7,1,1,1,0.29
322,-0.04,50,1,1,1,0.29
323,0.6,24,1,1,1,0.29
324,1.0,9,1,1,1,0.29
325,0.94,11,1,1,1,0.29
326,1.04,7,1,1,1,0.29
327,1.04,7,1,1,1,0.29
328,1.02,8,1,1,1,0.29
329,1.04,7,1,1,1,0.29
330,0.08,35,1,1,1,0.29
331,1.0,8,1,1,1,0.29
332,0.42,35,1,1,1,0.29
333,1.04,7,1,1,1,0.29
334,0.6,27,1,1,1,0.29
335,1.04,7,1,1,1,0.29
336,1.04,7,1,1,1,0.29
337,1.02,8,1,1,1,0.29
338,0.68,23,1,1,1,0.29
339,-0.22,50,1,1,0,0.29
340,-0.14,50,1,1,0,0.29
341,0.94,11,1,1,1,0.29
342,0.96,9,1,1,1,0.29
343,-0.22,50,1,1,0,0.29
344,-0.12,50,1,1,0,0.29
345,1.0,8,1,1,1,0.29
346,0.94,11,1,1,1,0.29
347,0.88,13,1,1,1,0.29
348,0.92,13,1,1,1,0.29
349,0.96,10,1,1,1,0.29
350,0.94,10,1,1,1,0.29
351,0.96,9,1,1,1,0.29
352,1.04,7,1,1,1,0.29
353,0.84,16,1,1,1,0.29
354,0.96,9,1,1,1,0.29
355,-0.64,50,0,0,0,0.29
356,0.96,9,1,1,1,0.29
357,1.04,7,1,1,1,0.29
358,0.92,11,1,1,1,0.29
359,-0.76,50,0,0,0,0.29
360,0.94,11,1,1,1,0.29
361,1.04,7,1,1,1,0.29
362,0.98,9,1,1,1,0.29
363,0.72,20,1,1,1,0.29
364,0.96,10,1,1,1,0.29
365,0.32,30,1,1,1,0.29
366,0.86,14,1,1,1,0.29
367,0.96,11,1,1,1,0.29
368,0.98,9,1,1,1,0.29
369,0.62,25,1,1,1,0.29
370,1.0,8,1,1,1,0.29
371,0.72,19,1,1,1,0.29
372,-0.32,50,1,0,0,0.29
373,0.56,28,1,1,1,0.29
374,-0.16,50,1,1,0,0.29
375,0.68,21,1,1,1,0.29
376,0.4,25,1,1,1,0.29
377,1.0,8,1,1,1,0.29
378,-0.84,50,0,0,0,0.29
379,1.0,8,1,1,1,0.29
380,1.04,7,1,1,1,0.29
381,0.4,27,1,1,1,0.29
382,0.96,9,1,1,1,0.29
383,0.96,10,1,1,1,0.29
384,1.0,9,1,1,1,0.29
385,0.58,20,1,1,1,0.29
386,-0.14,50,1,1,0,0.29
387,0.98,9,1,1,1,0.29
388,1.04,7,1,1,1,0.29
389,0.96,10,1,1,1,0.29
390,0.92,10,1,1,1,0.29
391,0.62,21,1,1,1,0.29
392,0.7,23,1,1,1,0.29
393,1.04,7,1,1,1,0.29
394,0.96,9,1,1,1,0.29
395,0.54,23,1,1,1,0.29
396,0.44,34,1,1,1,0.29
397,0.56,23,1,1,1,0.29
398,0.7,21,1,1,1,0.29
399,1.0,8,1,1,1,0.29
400,1.02,8,1,1,1,0.29
