episode,reward,steps,key,door,goal
555,0.48,34,1,1,1
556,0.84,13,1,1,1
557,0.98,9,1,1,1
558,0.64,22,1,1,1
559,0.74,19,1,1,1
560,0.28,34,1,1,1
561,0.94,11,1,1,1
562,0.14,38,1,1,1
563,1.04,7,1,1,1
564,0.06,43,1,1,1
565,0.86,12,1,1,1
566,0.42,32,1,1,1
567,0.94,11,1,1,1
568,0.24,43,1,1,1
569,0.44,30,1,1,1
570,-0.32,50,1,1,0
571,0.34,37,1,1,1
572,0.46,31,1,1,1
573,0.64,22,1,1,1
574,-0.14,50,1,1,0
575,0.92,12,1,1,1
576,0.52,23,1,1,1
577,0.32,35,1,1,1
578,1.0,9,1,1,1
579,0.84,13,1,1,1
580,0.88,13,1,1,1
581,0.58,27,1,1,1
582,0.96,10,1,1,1
583,0.78,17,1,1,1
584,0.52,31,1,1,1
585,0.8,13,1,1,1
586,0.56,24,1,1,1
587,-0.26,50,1,1,0
588,0.6,23,1,1,1
589,0.96,9,1,1,1
590,0.54,25,1,1,1
591,0.16,40,1,1,1
592,0.94,12,1,1,1
593,0.36,31,1,1,1
594,0.5,32,1,1,1
595,-0.14,50,1,1,0
596,0.56,25,1,1,1
597,0.9,12,1,1,1
598,-0.34,50,1,1,0
599,0.62,25,1,1,1
600,0.64,23,1,1,1
601,0.92,11,1,1,1
602,0.84,14,1,1,1
603,0.76,16,1,1,1
604,-0.3,50,1,1,0
605,-0.3,50,1,1,0
606,0.72,21,1,1,1
607,0.86,14,1,1,1
608,-0.24,50,1,1,0
609,0.44,32,1,1,1
610,0.14,46,1,1,1
611,0.84,15,1,1,1
612,0.6,24,1,1,1
613,0.7,19,1,1,1
614,-0.24,50,1,1,0
615,0.58,23,1,1,1
616,0.06,44,1,1,1
617,0.06,45,1,1,1
618,0.76,17,1,1,1
619,0.68,22,1,1,1
620,0.8,17,1,1,1
621,0.74,19,1,1,1
622,0.1,43,1,1,1
623,0.52,29,1,1,1
624,0.9,13,1,1,1
625,-0.24,50,1,1,0
626,0.74,19,1,1,1
627,0.92,12,1,1,1
628,1.02,8,1,1,1
629,-0.08,49,1,1,1
630,0.6,25,1,1,1
631,0.42,29,1,1,1
632,0.38,33,1,1,1
633,-0.3,50,1,1,0
634,0.9,13,1,1,1
635,0.94,11,1,1,1
636,0.22,39,1,1,1
637,-0.18,50,1,1,0
638,-0.02,48,1,1,1
639,0.92,10,1,1,1
640,0.64,21,1,1,1
641,0.5,31,1,1,1
642,1.02,8,1,1,1
643,0.78,18,1,1,1
644,0.64,21,1,1,1
645,0.06,41,1,1,1
646,0.86,14,1,1,1
647,0.94,10,1,1,1
648,0.08,47,1,1,1
649,0.88,13,1,1,1
650,0.78,18,1,1,1
651,0.34,38,1,1,1
652,0.4,31,1,1,1
653,0.68,19,1,1,1
654,0.62,24,1,1,1
655,-0.2,50,1,1,0
656,0.82,17,1,1,1
657,0.64,24,1,1,1
658,0.78,17,1,1,1
659,-0.28,50,1,1,0
660,0.16,41,1,1,1
661,0.42,31,1,1,1
662,-0.18,50,1,1,0
663,0.44,28,1,1,1
664,1.04,7,1,1,1
665,0.7,20,1,1,1
666,-0.26,50,1,1,0
667,0.66,22,1,1,1
668,-0.42,50,1,1,0
669,0.62,20,1,1,1
670,0.14,40,1,1,1
