episode,reward,length,key_picked,door_opened,goal_reached
648,1.03,15,True,True,True
649,1.01,17,True,True,True
650,1.03,15,True,True,True
651,1.0,16,True,True,True
652,1.03,15,True,True,True
653,1.03,15,True,True,True
654,1.0,16,True,True,True
655,0.98,18,True,True,True
656,1.03,15,True,True,True
657,1.03,15,True,True,True
658,0.97,17,True,True,True
659,1.03,15,True,True,True
660,1.01,17,True,True,True
661,1.01,17,True,True,True
662,1.03,15,True,True,True
663,1.03,15,True,True,True
664,1.03,15,True,True,True
665,1.01,17,True,True,True
666,1.0,16,True,True,True
667,1.03,15,True,True,True
668,0.99,19,True,True,True
669,1.01,17,True,True,True
670,1.0,16,True,True,True
671,1.0,16,True,True,True
672,1.03,15,True,True,True
673,1.03,15,True,True,True
674,0.99,19,True,True,True
675,1.03,15,True,True,True
676,1.03,15,True,True,True
677,1.01,17,True,True,True
678,1.01,17,True,True,True
679,1.03,15,True,True,True
680,1.03,15,True,True,True
681,1.01,17,True,True,True
682,1.03,15,True,True,True
683,1.0,18,True,True,True
684,1.03,15,True,True,True
685,1.03,15,True,True,True
686,1.03,15,True,True,True
687,0.98,18,True,True,True
688,1.0,16,True,True,True
689,0.95,19,True,True,True
690,0.99,19,True,True,True
691,1.0,16,True,True,True
692,1.03,15,True,True,True
693,1.03,15,True,True,True
694,1.03,15,True,True,True
695,1.03,15,True,True,True
696,1.01,17,True,True,True
697,1.03,15,True,True,True
698,1.03,15,True,True,True
699,1.03,15,True,True,True
700,1.0,16,True,True,True
701,1.03,15,True,True,True
702,1.0,16,True,True,True
703,1.03,15,True,True,True
704,1.03,15,True,True,True
705,1.0,16,True,True,True
706,1.03,15,True,True,True
707,1.03,15,True,True,True
708,1.03,15,True,True,True
709,0.96,20,True,True,True
710,1.01,17,True,True,True
711,1.0,16,True,True,True
712,0.97,21,True,True,True
713,0.99,17,True,True,True
714,1.0,16,True,True,True
715,0.98,18,True,True,True
716,1.01,17,True,True,True
717,1.03,15,True,True,True
718,0.97,21,True,True,True
719,1.03,15,True,True,True
720,1.03,15,True,True,True
721,1.03,15,True,True,True
722,1.01,17,True,True,True
723,1.03,15,True,True,True
724,1.03,15,True,True,True
725,1.01,17,True,True,True
726,0.98,18,True,True,True
727,1.03,15,True,True,True
728,1.03,15,True,True,True
729,0.99,19,True,True,True
730,1.0,16,True,True,True
731,0.94,22,True,True,True
732,0.98,18,True,True,True
733,0.98,18,True,True,True
734,1.01,17,True,True,True
735,1.03,15,True,True,True
736,1.03,15,True,True,True
737,1.03,15,True,True,True
738,1.03,15,True,True,True
739,1.0,16,True,True,True
740,1.03,15,True,True,True
741,0.98,18,True,True,True
742,1.01,17,True,True,True
743,1.03,15,True,True,True
744,1.03,15,True,True,True
745,1.01,17,True,True,True
746,1.03,15,True,True,True
747,1.03,15,True,True,True
748,1.01,17,True,True,True
749,1.03,15,True,True,True
750,1.0,16,True,True,True
751,0.97,17,True,True,True
752,0.99,19,True,True,True
753,1.03,15,True,True,True
754,1.03,15,True,True,True
755,1.03,15,True,True,True
756,1.01,17,True,True,True
757,1.03,15,True,True,True
758,1.03,15,True,True,True
759,0.97,21,True,True,True
760,1.01,17,True,True,True
761,1.01,17,True,True,True
762,1.0,16,True,True,True
763,1.02,16,True,True,True
764,1.01,17,True,True,True
765,1.03,15,True,True,True
766,1.03,15,True,True,True
767,1.01,17,True,True,True
768,1.03,15,True,True,True
769,1.03,15,True,True,True
770,1.01,17,True,True,True
771,0.97,17,True,True,True
772,1.03,15,True,True,True
773,1.03,15,True,True,True
774,1.03,15,True,True,True
775,1.01,17,True,True,True
776,0.98,18,True,True,True
777,1.01,17,True,True,True
778,1.03,15,True,True,True
779,0.99,19,True,True,True
780,1.01,17,True,True,True
781,1.01,17,True,True,True
782,1.03,15,True,True,True
783,1.01,17,True,True,True
784,1.03,15,True,True,True
785,1.03,15,True,True,True
786,1.01,17,True,True,True
787,1.03,15,True,True,True
