episode,reward,steps,key,door,goal
303,0.84,13,1,1,1
304,0.96,10,1,1,1
305,0.04,47,1,1,1
306,0.84,13,1,1,1
307,0.76,17,1,1,1
308,0.8,15,1,1,1
309,0.68,22,1,1,1
310,0.76,20,1,1,1
311,0.92,10,1,1,1
312,0.52,26,1,1,1
313,0.42,33,1,1,1
314,0.5,29,1,1,1
315,0.98,10,1,1,1
316,0.0,49,1,1,1
317,0.3,38,1,1,1
318,0.84,15,1,1,1
319,0.28,40,1,1,1
320,0.36,37,1,1,1
321,0.88,13,1,1,1
322,0.6,25,1,1,1
323,0.78,17,1,1,1
324,0.82,16,1,1,1
325,0.6,24,1,1,1
326,0.64,20,1,1,1
327,0.48,31,1,1,1
328,0.94,10,1,1,1
329,0.4,33,1,1,1
330,0.96,11,1,1,1
331,0.7,20,1,1,1
332,0.66,24,1,1,1
333,0.9,14,1,1,1
334,-0.18,50,1,1,0
335,0.48,33,1,1,1
336,-0.2,50,1,1,0
337,1.04,7,1,1,1
338,0.66,23,1,1,1
339,0.66,23,1,1,1
340,0.98,10,1,1,1
341,0.7,20,1,1,1
342,0.76,16,1,1,1
343,0.72,19,1,1,1
344,0.96,9,1,1,1
345,0.88,12,1,1,1
346,0.4,33,1,1,1
347,0.9,12,1,1,1
348,0.9,13,1,1,1
349,0.68,22,1,1,1
350,0.74,22,1,1,1
351,-0.24,50,1,1,0
352,0.88,12,1,1,1
353,0.72,20,1,1,1
354,0.6,26,1,1,1
355,0.88,12,1,1,1
356,0.3,39,1,1,1
357,-0.2,50,1,1,0
358,0.7,20,1,1,1
359,0.64,22,1,1,1
360,-0.28,50,1,0,0
361,0.98,10,1,1,1
362,0.76,19,1,1,1
363,0.66,23,1,1,1
364,0.56,28,1,1,1
365,0.94,11,1,1,1
366,0.06,50,1,1,1
367,0.6,27,1,1,1
368,0.88,13,1,1,1
369,-0.02,50,1,1,1
370,0.98,9,1,1,1
371,0.9,11,1,1,1
372,0.82,15,1,1,1
373,0.14,48,1,1,1
374,0.32,35,1,1,1
375,0.64,22,1,1,1
376,0.6,22,1,1,1
377,0.8,15,1,1,1
378,0.42,31,1,1,1
379,0.9,14,1,1,1
380,0.88,12,1,1,1
381,0.94,11,1,1,1
382,0.82,15,1,1,1
383,0.5,29,1,1,1
384,0.86,15,1,1,1
385,0.66,22,1,1,1
386,1.0,8,1,1,1
387,1.0,8,1,1,1
388,1.02,8,1,1,1
389,0.54,28,1,1,1
390,0.88,13,1,1,1
391,0.54,28,1,1,1
392,0.8,17,1,1,1
393,1.04,7,1,1,1
394,1.0,9,1,1,1
395,0.1,43,1,1,1
396,0.7,16,1,1,1
397,0.88,14,1,1,1
398,0.9,13,1,1,1
399,0.96,11,1,1,1
400,0.58,27,1,1,1
401,-0.26,50,1,1,0
402,0.7,20,1,1,1
403,0.8,18,1,1,1
404,-0.18,50,1,1,0
405,0.68,22,1,1,1
